year,sex,bin_index,pop,lower,upper,label,CRS_relevant
2033,M,4,602314,3,3,3,FALSE
2033,M,5,601096,4,4,4,FALSE
2033,M,6,599808,5,5,5,FALSE
2033,M,7,598447,6,6,6,FALSE
2033,M,8,597040,7,7,7,FALSE
2033,M,9,595692,8,8,8,FALSE
2033,M,10,593317,9,9,9,FALSE
2033,M,11,591374,10,10,10,FALSE
2033,M,12,606626,11,11,11,FALSE
2033,M,13,610341,12,12,12,FALSE
2033,M,14,591635,13,13,13,FALSE
2033,M,15,573711,14,14,14,FALSE
2033,M,16,2669629,15,19,15-19,TRUE
2033,M,17,2874350,20,24,20-24,TRUE
2033,M,18,2809059,25,29,25-29,TRUE
2033,M,19,2550764,30,34,30-34,TRUE
2033,M,20,2616837,35,39,35-39,TRUE
2033,M,21,2609519,40,44,40-44,TRUE
2033,M,22,2403900,45,49,45-49,FALSE
2033,M,23,1975469,50,54,50-54,FALSE
2033,M,24,1429163,55,59,55-59,FALSE
2033,M,25,1082941,60,64,60-64,FALSE
2033,M,26,817383,65,69,65-69,FALSE
2033,M,27,627358,70,74,70-74,FALSE
2033,M,28,747684,75,Inf,75+,FALSE
2034,F,1,589101,0,0,0,FALSE
2034,F,2,587734,1,1,1,FALSE
2034,F,3,587073,2,2,2,FALSE
2034,F,4,586706,3,3,3,FALSE
2034,F,5,586295,4,4,4,FALSE
2034,F,6,585678,5,5,5,FALSE
2034,F,7,584817,6,6,6,FALSE
2034,F,8,583764,7,7,7,FALSE
2034,F,9,582655,8,8,8,FALSE
2034,F,10,581544,9,9,9,FALSE
2034,F,11,579045,10,10,10,FALSE
2034,F,12,576895,11,11,11,FALSE
2034,F,13,601778,12,12,12,FALSE
2034,F,14,614250,13,13,13,FALSE
2034,F,15,594664,14,14,14,FALSE
2034,F,16,2723596,15,19,15-19,TRUE
2034,F,17,2848586,20,24,20-24,TRUE
2034,F,18,2885031,25,29,25-29,TRUE
2034,F,19,2542019,30,34,30-34,TRUE
2034,F,20,2689551,35,39,35-39,TRUE
2034,F,21,2746259,40,44,40-44,TRUE
2034,F,22,2557844,45,49,45-49,FALSE
2034,F,23,2174175,50,54,50-54,FALSE
2034,F,24,1670756,55,59,55-59,FALSE
2034,F,25,1381543,60,64,60-64,FALSE
2034,F,26,1170974,65,69,65-69,FALSE
2034,F,27,981885,70,74,70-74,FALSE
2034,F,28,1438748,75,Inf,75+,FALSE
2034,M,1,608770,0,0,0,FALSE
2034,M,2,606354,1,1,1,FALSE
