year,sex,age,mu
2032,M,93,0.1688285286647865
2032,M,94,0.1688285286647865
2032,M,95,0.22266129629251896
2032,M,96,0.22266129629251896
2032,M,97,0.22266129629251896
2032,M,98,0.22266129629251896
2032,M,99,0.22266129629251896
2032,M,100,0.22266129629251896
2033,F,0,0.016472367572003127
2033,F,1,0.0015195839276952114
2033,F,2,0.0015195839276952114
2033,F,3,0.0015195839276952114
2033,F,4,0.0015195839276952114
2033,F,5,3.331573305046495e-4
2033,F,6,3.331573305046495e-4
2033,F,7,3.331573305046495e-4
2033,F,8,3.331573305046495e-4
2033,F,9,3.331573305046495e-4
2033,F,10,3.770411768937713e-4
2033,F,11,3.770411768937713e-4
2033,F,12,3.770411768937713e-4
2033,F,13,3.770411768937713e-4
2033,F,14,3.770411768937713e-4
2033,F,15,8.430041464138945e-4
2033,F,16,8.430041464138945e-4
2033,F,17,8.430041464138945e-4
2033,F,18,8.430041464138945e-4
2033,F,19,8.430041464138945e-4
2033,F,20,0.001441445959470874
2033,F,21,0.001441445959470874
2033,F,22,0.001441445959470874
2033,F,23,0.001441445959470874
2033,F,24,0.001441445959470874
2033,F,25,0.002419224804303983
2033,F,26,0.002419224804303983
2033,F,27,0.002419224804303983
2033,F,28,0.002419224804303983
2033,F,29,0.002419224804303983
2033,F,30,0.0034970153783859315
2033,F,31,0.0034970153783859315
2033,F,32,0.0034970153783859315
2033,F,33,0.0034970153783859315
2033,F,34,0.0034970153783859315
2033,F,35,0.004596196303390102
2033,F,36,0.004596196303390102
2033,F,37,0.004596196303390102
2033,F,38,0.004596196303390102
2033,F,39,0.004596196303390102
2033,F,40,0.0059309927929869395
2033,F,41,0.0059309927929869395
2033,F,42,0.0059309927929869395
2033,F,43,0.0059309927929869395
2033,F,44,0.0059309927929869395
2033,F,45,0.00723120649762646
2033,F,46,0.00723120649762646
2033,F,47,0.00723120649762646
2033,F,48,0.00723120649762646
2033,F,49,0.00723120649762646
2033,F,50,0.00917346725908947
2033,F,51,0.00917346725908947
2033,F,52,0.00917346725908947
2033,F,53,0.00917346725908947
2033,F,54,0.00917346725908947
2033,F,55,0.012586496701341664
2033,F,56,0.012586496701341664
2033,F,57,0.012586496701341664
2033,F,58,0.012586496701341664
2033,F,59,0.012586496701341664
2033,F,60,0.017132515587453913
2033,F,61,0.017132515587453913
2033,F,62,0.017132515587453913
2033,F,63,0.017132515587453913
2033,F,64,0.017132515587453913
2033,F,65,0.024961425133802888
2033,F,66,0.024961425133802888
2033,F,67,0.024961425133802888
2033,F,68,0.024961425133802888
2033,F,69,0.024961425133802888
2033,F,70,0.035614958216421556
2033,F,71,0.035614958216421556
2033,F,72,0.035614958216421556
2033,F,73,0.035614958216421556
2033,F,74,0.035614958216421556
2033,F,75,0.05248350777730955
2033,F,76,0.05248350777730955
2033,F,77,0.05248350777730955
2033,F,78,0.05248350777730955
2033,F,79,0.05248350777730955
2033,F,80,0.072884452555449
2033,F,81,0.072884452555449
2033,F,82,0.072884452555449
2033,F,83,0.072884452555449
2033,F,84,0.072884452555449
2033,F,85,0.1073550749948177
2033,F,86,0.1073550749948177
2033,F,87,0.1073550749948177
2033,F,88,0.1073550749948177
2033,F,89,0.1073550749948177
2033,F,90,0.15602649848694555
2033,F,91,0.15602649848694555
2033,F,92,0.15602649848694555
2033,F,93,0.15602649848694555
2033,F,94,0.15602649848694555
2033,F,95,0.22475059477560516
2033,F,96,0.22475059477560516
2033,F,97,0.22475059477560516
2033,F,98,0.22475059477560516
2033,F,99,0.22475059477560516
2033,F,100,0.22475059477560516
2033,M,0,0.02172586673609212
2033,M,1,0.0020131261413164838
2033,M,2,0.0020131261413164838
2033,M,3,0.0020131261413164838
2033,M,4,0.0020131261413164838
2033,M,5,5.086602902073743e-4
2033,M,6,5.086602902073743e-4
2033,M,7,5.086602902073743e-4
2033,M,8,5.086602902073743e-4
2033,M,9,5.086602902073743e-4
2033,M,10,5.602900800765417e-4
2033,M,11,5.602900800765417e-4
2033,M,12,5.602900800765417e-4
2033,M,13,5.602900800765417e-4
2033,M,14,5.602900800765417e-4
2033,M,15,0.0013372889059741165
2033,M,16,0.0013372889059741165
2033,M,17,0.0013372889059741165
2033,M,18,0.0013372889059741165
2033,M,19,0.0013372889059741165
2033,M,20,0.0025943602401720016
2033,M,21,0.0025943602401720016
2033,M,22,0.0025943602401720016
2033,M,23,0.0025943602401720016
2033,M,24,0.0025943602401720016
2033,M,25,0.0039330336288243666
2033,M,26,0.0039330336288243666
2033,M,27,0.0039330336288243666
2033,M,28,0.0039330336288243666
2033,M,29,0.0039330336288243666
2033,M,30,0.0052601443309865815
2033,M,31,0.0052601443309865815
2033,M,32,0.0052601443309865815
2033,M,33,0.0052601443309865815
2033,M,34,0.0052601443309865815
2033,M,35,0.006823597088121305
2033,M,36,0.006823597088121305
2033,M,37,0.006823597088121305
2033,M,38,0.006823597088121305
2033,M,39,0.006823597088121305
2033,M,40,0.008928224372361826
2033,M,41,0.008928224372361826
2033,M,42,0.008928224372361826
2033,M,43,0.008928224372361826
2033,M,44,0.008928224372361826
2033,M,45,0.012125952990932143
2033,M,46,0.012125952990932143
2033,M,47,0.012125952990932143
2033,M,48,0.012125952990932143
2033,M,49,0.012125952990932143
2033,M,50,0.016572865941509248
2033,M,51,0.016572865941509248
2033,M,52,0.016572865941509248
2033,M,53,0.016572865941509248
2033,M,54,0.016572865941509248
2033,M,55,0.02273241121377223
2033,M,56,0.02273241121377223
2033,M,57,0.02273241121377223
2033,M,58,0.02273241121377223
2033,M,59,0.02273241121377223
2033,M,60,0.030810970217129096
2033,M,61,0.030810970217129096
2033,M,62,0.030810970217129096
2033,M,63,0.030810970217129096
2033,M,64,0.030810970217129096
2033,M,65,0.04238460994934689
2033,M,66,0.04238460994934689
2033,M,67,0.04238460994934689
2033,M,68,0.04238460994934689
2033,M,69,0.04238460994934689
2033,M,70,0.055592642786164145
2033,M,71,0.055592642786164145
2033,M,72,0.055592642786164145
2033,M,73,0.055592642786164145
2033,M,74,0.055592642786164145
2033,M,75,0.07498345417023802
2033,M,76,0.07498345417023802
2033,M,77,0.07498345417023802
2033,M,78,0.07498345417023802
2033,M,79,0.07498345417023802
2033,M,80,0.09338883403344378
2033,M,81,0.09338883403344378
2033,M,82,0.09338883403344378
2033,M,83,0.09338883403344378
2033,M,84,0.09338883403344378
2033,M,85,0.12743766696061515
2033,M,86,0.12743766696061515
2033,M,87,0.12743766696061515
2033,M,88,0.12743766696061515
2033,M,89,0.12743766696061515
2033,M,90,0.16861356525526222
2033,M,91,0.16861356525526222
2033,M,92,0.16861356525526222
2033,M,93,0.16861356525526222
2033,M,94,0.16861356525526222
2033,M,95,0.22249375355896128
2033,M,96,0.22249375355896128
2033,M,97,0.22249375355896128
2033,M,98,0.22249375355896128
2033,M,99,0.22249375355896128
2033,M,100,0.22249375355896128
2034,F,0,0.016104880197533193
2034,F,1,0.0014856078308091733
2034,F,2,0.0014856078308091733
2034,F,3,0.0014856078308091733
2034,F,4,0.0014856078308091733
2034,F,5,3.257972155337789e-4
2034,F,6,3.257972155337789e-4
2034,F,7,3.257972155337789e-4
